comentarios,source,fecha,tiene_groseria,comentarios_censurados,etiqueta,etiqueta_predicha,relevancia
Me gusta,rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,Me gusta,positivo_sugerencia,positivo_sugerencia,1.4106644453563255
Comment,rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,Comment,neutral,neutral,0.0
Share,rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,Share,neutral,neutral,1.0
"Abraham Álvarez
Rtp x siempre",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Abraham Álvarez
Rtp x siempre",neutral,neutral,1.9611790012717232
"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Abraham Álvarez
#RTPSiempreContigo",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Abraham Álvarez
#RTPSiempreContigo",neutral,neutral,3.073685707264316
Comentar,rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,Comentar,neutral,neutral,0.0
Compartir,rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,Compartir,neutral,neutral,0.0
"RTP - Red de Transporte de Pasajeros de la Ciudad de México
  ·
Seguir
Reels
  · 10 de abr
  ·",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"RTP - Red de Transporte de Pasajeros de la Ciudad de México
  ·
Seguir
Reels
  · 10 de abr
  ·",neutral,neutral,3.0602646639006723
"Fan destacado
Rogelio HuAl
Al rato sacarán la flotilla Shakira, Paquita la del barrio y flotilla Ángela Aguilar?",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Fan destacado
Rogelio HuAl
Al rato sacarán la flotilla Shakira, Paquita la del barrio y flotilla Ángela Aguilar?",neutral,neutral,3.339215989093472
"Liz Soria
Rogelio HuAl
jajajaja déjate de eso ojalá ya los reemplacen porque ya están dando sus últimos kilómetros.",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Liz Soria
Rogelio HuAl
jajajaja déjate de eso ojalá ya los reemplacen porque ya están dando sus últimos kilómetros.",neutral,neutral,3.967484460132924
"RTP - Red de Transporte de Pasajeros de la Ciudad de México
  ·
Seguir
Reels
  · 9 de abr
  ·",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"RTP - Red de Transporte de Pasajeros de la Ciudad de México
  ·
Seguir
Reels
  · 9 de abr
  ·",neutral,neutral,2.9054094368391463
"Jose Villa
El legado de ruta 100 con un parque vehicular casi de 5100 unidades entre las cuales estaban los delfines, metrobuses, moyada, somex, boxers, prototipos garantizaban un intervalo de 4 minutos entre unidades y si te ganaba la unidad te esperabas ese tie… Ver más",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Jose Villa
El legado de ruta 100 con un parque vehicular casi de 5100 unidades entre las cuales estaban los delfines, metrobuses, moyada, somex, boxers, prototipos garantizaban un intervalo de 4 minutos entre unidades y si te ganaba la unidad te esperabas ese tie… Ver más",neutral,neutral,5.562753268786713
"Ing Miguel Borita
Su servicio de la ruta 9C Puerta Grande - CC Santa Fe esta sobrepasado. Filas de hasta 200 personas esperando RTP a las 6 am. Han llegado hasta 3 Camiones y los 3 se super llenan. Y aun asi sigue llegando mucha gente.",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Ing Miguel Borita
Su servicio de la ruta 9C Puerta Grande - CC Santa Fe esta sobrepasado. Filas de hasta 200 personas esperando RTP a las 6 am. Han llegado hasta 3 Camiones y los 3 se super llenan. Y aun asi sigue llegando mucha gente.",neutral,neutral,5.599870798689254
"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Ing Miguel Borita
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Ing Miguel Borita
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",neutral,neutral,5.981746057665241
"Ignacio Tellez
Eso es publicidad
El CC de universidad
Es de lo más nefasto … Ver más",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Ignacio Tellez
Eso es publicidad
El CC de universidad
Es de lo más nefasto … Ver más",neutral,neutral,3.2627866637644933
"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",neutral,neutral,5.730549717429152
"Lolyta Gonzalez
Cloro unidades limpias bonitas operadores respetuosos genial.....",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Lolyta Gonzalez
Cloro unidades limpias bonitas operadores respetuosos genial.....",positivo_sugerencia,positivo_sugerencia,2.993551301569307
"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Lolyta Gonzalez
#RTPSiempreContigo",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Lolyta Gonzalez
#RTPSiempreContigo",neutral,neutral,3.0840815066218403
"Ana G Salinas
Excelente compañero !!! Dedicado , respetuoso y excelente operador!!!! M6",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Ana G Salinas
Excelente compañero !!! Dedicado , respetuoso y excelente operador!!!! M6",positivo_sugerencia,positivo_sugerencia,2.739158439974891
"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Ana G Salinas
#RTPSiempreContigo",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Ana G Salinas
#RTPSiempreContigo",neutral,neutral,3.0840815066218403
"“Seguir caminando hacia el presente y hacia el mañana” 
… See more",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"“Seguir caminando hacia el presente y hacia el mañana” 
… See more",neutral,neutral,2.2833578294938226
