comentarios,source,fecha,tiene_groseria,comentarios_censurados,etiqueta,etiqueta_predicha,relevancia
Me gusta,rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,Me gusta,neutral,neutral,1.0
Comment,rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,Comment,neutral,neutral,0.0
Share,rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,Share,neutral,neutral,1.0
"Abraham Álvarez
Rtp x siempre",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Abraham Álvarez
Rtp x siempre",neutral,neutral,1.95275955873658
"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Abraham Álvarez
#RTPSiempreContigo",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Abraham Álvarez
#RTPSiempreContigo",neutral,neutral,3.0567509670245867
Comentar,rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,Comentar,neutral,neutral,0.0
Compartir,rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,Compartir,neutral,neutral,0.0
"RTP - Red de Transporte de Pasajeros de la Ciudad de México
  ·
Seguir
Reels
  · 10 de abr
  ·",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"RTP - Red de Transporte de Pasajeros de la Ciudad de México
  ·
Seguir
Reels
  · 10 de abr
  ·",neutral,neutral,3.0584051205205225
"Fan destacado
Rogelio HuAl
Al rato sacarán la flotilla Shakira, Paquita la del barrio y flotilla Ángela Aguilar?",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Fan destacado
Rogelio HuAl
Al rato sacarán la flotilla Shakira, Paquita la del barrio y flotilla Ángela Aguilar?",neutral,neutral,3.484692013271322
"Liz Soria
Rogelio HuAl
jajajaja déjate de eso ojalá ya los reemplacen porque ya están dando sus últimos kilómetros.",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Liz Soria
Rogelio HuAl
jajajaja déjate de eso ojalá ya los reemplacen porque ya están dando sus últimos kilómetros.",neutral,neutral,3.9679333007793054
"RTP - Red de Transporte de Pasajeros de la Ciudad de México
  ·
Seguir
Reels
  · 9 de abr
  ·",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"RTP - Red de Transporte de Pasajeros de la Ciudad de México
  ·
Seguir
Reels
  · 9 de abr
  ·",neutral,neutral,2.9036278002506397
"Jose Villa
El legado de ruta 100 con un parque vehicular casi de 5100 unidades entre las cuales estaban los delfines, metrobuses, moyada, somex, boxers, prototipos garantizaban un intervalo de 4 minutos entre unidades y si te ganaba la unidad te esperabas ese tie… Ver más",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Jose Villa
El legado de ruta 100 con un parque vehicular casi de 5100 unidades entre las cuales estaban los delfines, metrobuses, moyada, somex, boxers, prototipos garantizaban un intervalo de 4 minutos entre unidades y si te ganaba la unidad te esperabas ese tie… Ver más",neutral,neutral,5.558789214989156
"Ing Miguel Borita
Su servicio de la ruta 9C Puerta Grande - CC Santa Fe esta sobrepasado. Filas de hasta 200 personas esperando RTP a las 6 am. Han llegado hasta 3 Camiones y los 3 se super llenan. Y aun asi sigue llegando mucha gente.",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Ing Miguel Borita
Su servicio de la ruta 9C Puerta Grande - CC Santa Fe esta sobrepasado. Filas de hasta 200 personas esperando RTP a las 6 am. Han llegado hasta 3 Camiones y los 3 se super llenan. Y aun asi sigue llegando mucha gente.",neutral,neutral,5.6024114444268935
"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Ing Miguel Borita
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Ing Miguel Borita
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",neutral,neutral,5.979434329218919
"Ignacio Tellez
Eso es publicidad
El CC de universidad
Es de lo más nefasto … Ver más",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Ignacio Tellez
Eso es publicidad
El CC de universidad
Es de lo más nefasto … Ver más",neutral,neutral,3.259879570256518
"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",neutral,neutral,5.728248288356513
"Lolyta Gonzalez
Cloro unidades limpias bonitas operadores respetuosos genial.....",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Lolyta Gonzalez
Cloro unidades limpias bonitas operadores respetuosos genial.....",neutral,neutral,2.994519675147129
"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Lolyta Gonzalez
#RTPSiempreContigo",rtp_cdmx_comentarios_20250413_002654.csv,2025-04-18,False,"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Lolyta Gonzalez
#RTPSiempreContigo",neutral,neutral,3.08279476668083
"Ana G Salinas
Excelente compañero !!! Dedicado , respetuoso y excelente operador!!!! M6",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Ana G Salinas
Excelente compañero !!! Dedicado , respetuoso y excelente operador!!!! M6",positivo_sugerencia,neutral,2.708101232155462
"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Ana G Salinas
#RTPSiempreContigo",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Autor
RTP - Red de Transporte de Pasajeros de la Ciudad de México
Ana G Salinas
#RTPSiempreContigo",neutral,neutral,3.08279476668083
